---OutputTable---
time=16763
table_size=3895
[288] - <275 354 > true count=2, estimated count=21, Key=193913
[289] - <57 120 201 252 538 > true count=1, estimated count=21, Key=2293924
[290] - <48 63 252 853 > true count=20, estimated count=21, Key=2044246
[291] - <65 1173 > true count=1, estimated count=21, Key=641696
[292] - <5 113 853 > true count=1, estimated count=21, Key=1110153
[293] - <360 853 > true count=2, estimated count=21, Key=466951
[294] - <7 18 54 57 139 378 > true count=21, estimated count=21, Key=1925549
[295] - <5 7 669 891 > true count=1, estimated count=21, Key=2601798
[296] - <7 63 405 569 891 > true count=1, estimated count=21, Key=4115589
[297] - <4 5 48 109 287 405 > true count=1, estimated count=21, Key=2518236
[298] - <5 38 234 287 1040 > true count=1, estimated count=21, Key=3739328
[299] - <7 19 336 706 953 1173 > true count=1, estimated count=21, Key=1150712
[300] - <21 61 139 650 > true count=1, estimated count=21, Key=1499669
[301] - <7 622 > true count=3, estimated count=21, Key=340241
[302] - <5 696 > true count=1, estimated count=21, Key=380717
[303] - <54 100 405 1187 > true count=1, estimated count=21, Key=2918190
[304] - <69 1134 > true count=2, estimated count=22, Key=620367
[305] - <759 1134 > true count=2, estimated count=21, Key=621057
[306] - <23 139 853 > true count=2, estimated count=21, Key=1124393
[307] - <23 57 361 830 > true count=1, estimated count=21, Key=2129061
[308] - <23 60 928 966 > true count=1, estimated count=21, Key=3098593
[309] - <20 57 367 378 1134 > true count=1, estimated count=21, Key=4352962
[310] - <48 63 105 853 > true count=2, estimated count=21, Key=1863583
[311] - <378 883 > true count=2, estimated count=21, Key=483379
[312] - <18 23 378 > true count=21, estimated count=21, Key=477161
[313] - <48 102 214 > true count=1, estimated count=21, Key=318848
[314] - <7 13 36 105 > true count=1, estimated count=21, Key=260627
[315] - <2 48 57 63 178 > true count=1, estimated count=21, Key=711192
[316] - <5 63 105 > true count=6, estimated count=21, Key=163511
[317] - <57 134 152 > true count=1, estimated count=21, Key=260163
[318] - <5 139 189 378 > true count=1, estimated count=21, Key=1061673
[319] - <120 453 > true count=1, estimated count=21, Key=247911
[320] - <57 154 793 > true count=2, estimated count=22, Key=1058892
[321] - <6 82 113 203 > true count=1, estimated count=21, Key=588316
[322] - <4 48 57 793 > true count=1, estimated count=21, Key=1676762
[323] - <13 48 68 > true count=1, estimated count=21, Key=109841
[324] - <7 36 57 270 286 860 > true count=1, estimated count=21, Key=4493736
[325] - <5 496 > true count=3, estimated count=21, Key=271317
[326] - <59 252 > true count=1, estimated count=21, Key=137903
[327] - <57 61 451 > true count=1, estimated count=21, Key=587703
