---OutputTable---
time=19459
table_size=182
[146] - <25 26 27 32 63 64 65 > true count=798, estimated count=1967, Key=800942
[147] - <1 2 6 37 38 > true count=812, estimated count=2209, Key=186672
[148] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 > true count=2717, estimated count=3089, Key=1073430
[149] - <25 36 37 38 528 > true count=800, estimated count=1953, Key=1592396
[150] - <1 5 6 24 25 26 27 32 33 35 > true count=823, estimated count=1960, Key=400238
[151] - <25 26 27 32 35 528 529 > true count=810, estimated count=1960, Key=4436898
[152] - <2 3 5 24 33 > true count=815, estimated count=1972, Key=146337
[153] - <25 26 27 63 65 66 67 > true count=800, estimated count=1960, Key=884227
[154] - <25 26 27 33 35 528 529 > true count=802, estimated count=1951, Key=4438891
[155] - <1 5 6 24 32 36 37 39 > true count=812, estimated count=1955, Key=438442
[156] - <25 26 27 32 33 35 529 > true count=806, estimated count=1955, Key=2665967
[157] - <26 36 37 38 529 > true count=799, estimated count=1952, Key=1595146
[158] - <6 24 25 26 27 32 33 35 36 37 38 39 > true count=3322, estimated count=4560, Key=678530
[159] - <2 3 5 6 26 27 > true count=812, estimated count=2043, Key=187907
[160] - <2 3 5 24 25 26 27 > true count=814, estimated count=1977, Key=336818
[161] - <24 25 26 27 32 33 35 36 37 38 39 46 > true count=1162, estimated count=2385, Key=731498
[162] - <2 5 6 25 26 27 > true count=818, estimated count=1955, Key=228097
[163] - <1 5 6 24 25 26 27 32 33 36 37 > true count=812, estimated count=2159, Key=475208
[164] - <24 25 26 27 63 65 > true count=797, estimated count=1949, Key=505416
[165] - <1 5 6 24 32 33 36 38 > true count=812, estimated count=2162, Key=423277
[166] - <24 25 26 27 32 33 35 36 37 38 39 42 43 45 348 > true count=961, estimated count=2239, Key=1073778
[167] - <2 3 6 25 26 27 32 33 35 36 37 38 > true count=819, estimated count=1957, Key=610100
[168] - <38 63 65 > true count=797, estimated count=1948, Key=114384
[169] - <26 27 35 36 529 > true count=799, estimated count=1949, Key=1583779
[170] - <32 63 64 65 66 67 > true count=805, estimated count=2321, Key=664055
[171] - <25 35 36 37 528 > true count=799, estimated count=1950, Key=1588627
[172] - <24 25 26 27 32 33 > true count=11827, estimated count=13400, Key=305605
[173] - <37 38 63 64 > true count=796, estimated count=1951, Key=225802
[174] - <24 25 26 27 32 33 35 36 37 38 39 526 > true count=2150, estimated count=2621, Key=2051018
[175] - <26 63 64 65 66 67 > true count=798, estimated count=1949, Key=664049
[176] - <6 24 25 26 27 32 33 35 36 37 38 39 49 460 > true count=1313, estimated count=2482, Key=2887659
[177] - <1 5 6 24 25 26 27 33 35 36 > true count=812, estimated count=2166, Key=402562
[178] - <1 2 3 24 25 26 27 32 33 35 36 37 38 39 > true count=961, estimated count=2108, Key=876868
[179] - <26 27 32 33 35 528 529 > true count=799, estimated count=2135, Key=4445584
[180] - <1 5 6 24 25 26 27 32 35 36 37 > true count=812, estimated count=2168, Key=476302
[181] - <1 5 6 25 26 32 33 36 39 > true count=812, estimated count=1955, Key=413263
[182] - <1 5 6 24 25 32 36 37 38 > true count=812, estimated count=2221, Key=421238
